"node_id","node_type","all_time_communities","slice_1650_1699","slice_1675_1724","slice_1700_1749","slice_1725_1774","slice_1750_1799","slice_1775_1824","slice_1800_1849","slice_1825_1874","slice_1850_1899","slice_1875_1924","publication_communities"
"Mr. Murdock","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Samuel Reynardson","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Emanuel da Costa","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Murdoch Mackenzie","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Richard Dunthorne","author",0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"Geo. Matthias Bose","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Benj Cooke","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Wm. Milner","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Wm. Borlace","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Wm. Elstobb","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"James Hodgfon","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Mary Senex","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Christopher Maire","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Mr. Chalmers","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Edward Wright","author",0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"Honourable George","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"John Starr","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Robert More","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"John Burton","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Joseph Platt","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Wm. Heberden","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Jo. Freeman","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Jo. Martyn","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Smart Lethieullier","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Tho. Birch","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Martin Clare","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Michael Russel","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"J. Ellicott","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Daniel Wray","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Wm. Cooper","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Mr. Taylor","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Peter Newcome","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Tho. Burrat","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Robert Paul","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Mr. Pennant","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Nath. Downe","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"M.De Reaumur","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Wm. Barlow","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Wm. Jackson","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Mordach Mackenzie","author",0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"William Folkes","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"P. Doddridge","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Henry Green","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Mr. Trembley","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"John Hill","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"James Sherwood","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Tho. Knowlton","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"James Ferguson","author",0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"Wm. Cock","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"J. Breintal","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"R. Badcock","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Charles Hamilton","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"John Henry Winkler","author",0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"J. Durant","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"John Christoph","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"William Anderon","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Peter Templeman","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Monsieur le Monnier","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Edward Bailey","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"William Fidge","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Samuel Glass","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"John Taylor","author",0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"Emanuel Mendez Da Costa","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Cromwel Mortimer","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Dr. Gronovius","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Benjamin Cooke","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Robert Lucas","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"G. Costard","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Marquis Nicolini","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"David-Erskine Baker","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Edward Davis","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Joseph Ames","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"G. Stovin","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Tho. Cameron","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Starkey Myddleton","author",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Isaac Jamineau","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Richard Guy","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"James Ford","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Henry Eeles","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Israel Mauduit","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Jonathan Wathen","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Nedham","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"T. Brady","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Malcolm Fleming","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"William Thornhill","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Gustavus Brander","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Francis Byam","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Arthur Pond","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mons. Bonnet","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mons. Allemond","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Governor Belcher","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mons. Allemand","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Edward Matthews","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Cheney Hart","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Abraham Trembly","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mons. La Condamine","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Dr. Peyssonnel","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"George Edwards","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Nettis","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Thomas Rutherforth","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Stedman","author",0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"George Bayly","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Horace Walpole","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Patrick Murdocke","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Freeman","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Horrison","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"T. Coe","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Francis Blake","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Philip Carteret","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Charles Alston","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Joseph Palmer","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Willem Van Hazen","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Thomas Wilbraham","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Bond","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Rich. Brooke","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Dr. Mackenzie","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Thomas Hope","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Brown","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Wm Borlase","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mons. Clairaut","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Wm. Borlase","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Richard Pocock","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Father D&apos;Incarville","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"T. Melvil","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Father Gaubil","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Joseph Spence","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Monsieur De L&apos;Isle","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Jacob","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"William Hirst","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Monsieur Clairaut","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Murdock Mackenzie","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"James Gray","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Collet","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Walker","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Andrew Mitchell","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Charles Cavendish","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mark Akenside","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Richard Forster","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Jos. Warner","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Keane Fitz-Gerald","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Richard Grindall","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Ja. Bradley","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"D. Klinkenberg","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Joshua Platt","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Patrick Murdoch","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Nicholas Jenty","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Nic. Munckley","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Robert Home","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"William Chapman","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Andrew Peyssonnel","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"George Forbes","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Samuel Pullein","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Abbate De Venuti","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"William Dutton","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Michell","author",0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Mark Day","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Abbe de la Caille","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Terence Brady","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Francis Haskins Eyles Stiles","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Francis Eyles Styles","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Jer. Milles","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Dr. Lavington","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Baptist Paitoni","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Tho. Woollcombe","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Wilkinson","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Hugh Hamilton","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Benjamin Gale","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"W. Ludlam","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"F. H. Eyles Stiles","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Griffith","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Hope","author",0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Thomas Hornsby","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Edward Wortley Montagu","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Alexander Brice","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Robert Smith","author",0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA
"Arthur Lee","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. Michell","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"George Carlisle","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Alex. Brice","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Samuel Felton","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Percival Pott","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Josiah Tucker","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Howard","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Charles Messier","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Thomas Lawrence","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Andrew Oliver","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"David Wark","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Abbe De la Caille","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Robert Mackinlay","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"T. W.","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Joseph Gaertner","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Right Reverend Richard","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Stephens","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. Nixon","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"D. Lysons","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Molloy","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Nathaniel Bliss","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Richard Haydon","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Benedict Ferner","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Philip Morant","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Henry More","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Abraham Mason","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"William Hudson","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Charlton Wollaston","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"James Bones","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Bones","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"M. De la Lande","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Daniel C. Solander","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"William Milbourne","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Thomas Dawes","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Henry Horne","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Simon Peter Pallas","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Andrew Peter Du Pont","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Monsieur Wargentin","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Ebenezer Kinnersley","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Achard","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Moses Lindo","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Edward Gulston","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Verelst","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Thomas Bayes","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Josiah Colebrook","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"James Horsefall","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"William Farr","author",0,NA,NA,NA,0,0,NA,NA,0,0,NA,NA
"Sylvester Douglas","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Reinhlod Forster","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"James Byres","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. Moult","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Dan. Lysons","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Strange","author",0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"William Paxton","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"James Horsfall","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"T. Lane","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"W. Hirst","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Bayley","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Dr. Wilson","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Daniel Harris","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Leeds","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Ph. Carteret","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"H. Hampe","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Charles Douglas","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Keane Fitz Gerald","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Tho. Davies","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. L. Winn","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Dominico Cirillo","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. Rowning","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Nathan Pigott","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"T. S. Kuckhan","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"R. Watson","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. A. Mallet","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"M. Pingre","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Prince Masserano","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Channing","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Alexander","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Charles Clarke","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"William Sharp","author",0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA
"G. D. Ehret","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"James Johnston","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Caverhill","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"C. L&apos;. Epinasse","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Sam. Horsley","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. B. Blake","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"James Clegg","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Doctor Haygarth","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Samuel Foart Simmons","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. S. Winn","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Humphry Marshall","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Gilbert White","author",0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"B. Wilmer","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"M. de Stehlin","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"James Badenach","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Reinhold Forster","author",0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Charles Newland","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Capt. Newland","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Zephaniah Holwel","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Christopher Gullet","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. Cook","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. R. Forster","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Charles Collignon","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Mr. Hamilton","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Stephen De Visme","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Father Gramont","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Anthony Williams","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"And. Coltee Ducarel","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"J. Thorpe","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Edward Hasted","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Michael Tyson","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"F. L. F. Crell","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Richard Waring","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"R. E. Raspe","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Humphrey Jackson","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Adam Walker","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Richard Watson","author",0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Mr. Mustel","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"William Johnson","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Peter Jonas Bergius","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Paul Panton","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"W. Barnard","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Dr. Nooth","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"M. J. A. de Luc","author",0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"John Mervin Nooth","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"J. Lorimer","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"J. Haygarth","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"Alexander Garden","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"Samuel Farr","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"Molineux Shuldham","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"Mr. Lexel","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"W. Cooper","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"James Cornish","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"Benjamin Gooch","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"James Bruce","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"John Roebuck","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"Israel Lyons","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"Mr. Marsham","author",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
