"node_id","node_type","all_time_communities","slice_1650_1699","slice_1675_1724","slice_1700_1749","slice_1725_1774","slice_1750_1799","slice_1775_1824","slice_1800_1849","slice_1825_1874","slice_1850_1899","slice_1875_1924","publication_communities"
"G. H. Darwin, F. R. S.","author",20,NA,NA,NA,NA,NA,NA,NA,NA,7,20,NA
"Sir William Crookes, D. Sc., F. R. S.","author",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
"Professor C. McLeod, F. R. S. Can.","author",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA
"Profesor H. L. Callendar, F. R. S.","author",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA
"Bertam Hopiknson, M. A., M. I. C. E.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"F. Rogers, B. A., (Cantab.), M. Sc., M. Eng.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"C. Cuthbertson","author",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA
"E. B. R. Prideaux, M. A., B. Sc.","author",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA
"Sir William Ramsey, K. C. B., F. R. S.","author",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA
"J. H. Poynting, Sc. D., F. R. S.","author",24,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA
"Percy Phillips, M. Sc.","author",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"G. T. Beilby","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"H. N. Beilby, B. Sc.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"V. H. Veley, F. R. S.","author",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
"J. J. Manley, M. A.","author",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
"Sir William Huggins, K. C. B., O. M., D. C. L., Pres. R. S.","author",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"Lady Huggins, Hon. Mem. R. A. S.","author",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"J. E. Petavel","author",27,NA,NA,NA,NA,NA,NA,NA,NA,9,8,NA
"Sir Norman Lockyer, K. C. B., LL. D., Sc. D., F. R. S.","author",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
"William J. S. Lockyer, M. A. (Camb.), Ph. D. (G\#xF6;tt.), F. R. A. S.","author",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
