id,type
"Prof. A. B. Garrod, M. D., F. R. S.",author
"Robert McCarrison, M. B., B. Ch.",author
Captain Langford,author
"W. B. Fry, Major R. A. M. C.",author
"A. H. Gibson, M. Sc. (Vict.)",author
"Henry Webster Moss, A. R. C. Sc. I., A. I. C.",author
"Albert J. Walton, M. S., F. R. C. S., B. Sc.",author
E. Walter Maunder,author
"H. L. Callendar, B. A.",author
Robert B. Sangster.,author
"H. M. Fletcher, B. A.",author
Joseph Wilcox,author
"J. J. Fox, O. B. E., D. Sc.",author
John Mortimer Heppel,author
Peter Woulfe,author
Michael Russel,author
" Principal E. H. Griffiths, F. R. S.",author
Erasmus Darwin,author
P. W. Hofmann,author
R. C. Rowe,author
"D. A. Welsh, M. A., B. Sc., M. D.",author
George Harley,author
Thomas Platt,author
Adam Drummond,author
Dr. Maurice Nicloux,author
"Sir J. J. Dobbie, F. R. S.",author
William Durfton,author
"Dr. J. Dalton Hooker, C. B.",author
"H. Moss, B. Sc., A. R. C. S.",author
Richard Oram,author
"J. G. Thomson, M. A., M. B., Ch. B.",author
P. Francisco Lana,author
T. P. Dale,author
John Attfield,author
Alexander Stuart,author
William Julian Evans,author
"H. L. Callender, M. A., LL. D., F. R. S.",author
"C. Handfield Jones, M. B. Cantab., F. R. S.",author
Henry E. Roscoe,author
"G. M. Whipple, B. Sc., F. R. A. S.",author
William White,author
"G. J. Burch, B. A.",author
Kerr Grant,author
"Hon. J. W. Strutt, M. A.",author
"D. H. Scott, M. A., Ph. D., F. L. S., F. G. S.",author
E . A. Minchin,author
"J. A. Gray, M. Sc.",author
Captain Shortrede,author
"J. G. Adami, M. A., M. B.",author
A. Moulin,author
"Dorothy Jordan Lloyd, B. Sc.",author
"L. Becker, Ph. D.",author
M. Maty,author
Major David Harvey,author
Professor Percival Lowell,author
"N. H. J. Miller, Ph. D.",author
"Thomas R. Merton, B. Sc. (Oxon.).",author
Will. Cheselden,author
Lady Jones,author
E. F. Herroun,author
"E. Parr Metcalfe, B. Sc.",author
Mr Gourdon,author
"C. S. Sherrington, M. B.",author
"William Spottiswoode, Esq., M. A., Treas. R. S., \amp;c., \amp;c.",author
Walter de Morgan,author
Mr. Baker,author
Richard Grindall,author
"G. S. Edwards, C. E.",author
"James B. Henderson, B. Sc.",author
Henry Clifton Sorby,author
"Professor H. Debus, Ph. D., F. R. S.",author
Dr. Lavington,author
Benjamin Wiseman,author
"Sir Alfred B. Garrod, M. D., F. R. S.",author
"Mr. Wray, Jun.",author
"Joseph Tillie, M. D. (Edin.)",author
Jacob Bobart,author
Dr. Samber,author
"Major R. L. Hippisley, R. E.",author
Bertram Hopkinson,author
"R. S. Heath, B. A.",author
Edward Coles,author
"J. R. Hind, F. R. S.",author
"S. H. Burbury, M. A.",author
Paul Rycaut,author
"Hugh Ramage, B. A., A. R. C. Sc. I.",author
Mr. Bussiere,author
Clive Cuthbertson.,author
Jos. Brant Thayendanega,author
Warren De La Rue,author
"John Berry Haycraft, M. D., D. Sc.",author
"the late Prince B. Galitzin, For. Mem. R. S.",author
"E. H. Rodd, B. Sc.",author
"Professor Sir Thomas R. Fraser, M. D., F. R. S.",author
"George J. Romanes, M. A., F. R. S.",author
M. Dechevrens,author
William Withering,author
"Leonard Rogers, M. D., F. R. C. S. F. R. C. P., I. M. S.",author
Richard Hey,author
"Professor J. Bretland Farmer, F. R. S.",author
"Professor G. D. Liveing, F. R. S.",author
"Charles Darwin, M. A., F. R. S.",author
Isaak Newton,author
Peter Dollond,author
Daniel C. Solander,author
J. F.,author
Ch. Allioni,author
A. F. Mornay,author
"William Ray, B. Sc., M. B.",author
"Professor J. Larmor, Sec. R. S.",author
Charles Robertson,author
Joseph Clarke,author
Richard Reynell,author
Monsieur Havelius,author
"G. J. Romanes, M. A., F. L. S.",author
"H. M. Woodcock, D. Sc. (Lond.)",author
"E. Franklad, D. C. L., F. R. S.",author
"Victor Horsley, F. R. S., B. S.",author
B. Duppa,author
"Bertram Hopkinson, F. R. S.",author
"T. J. I\#x2019;A. Bromwich, Sc. D., F. R. S.",author
"Richard C. Maclaurin, M. A., Sc. D., LL. D., ",author
"W. N. Parker, Ph. D., F. Z. S.",author
"William Ramsay, Ph. D., LL. D., Sc. D., F. R. S.",author
Mizael Malfalguerat,author
David K. Morris,author
John Goodricke,author
"Thomas William Bridge, B. A. ",author
Louys de Bills,author
George Aylett,author
"Bevan Lewis, F. R. M. S.",author
"Earl of Berkeley, F. R. S.",author
"Major P. A. MacMahon, R.A., D.Sc., F. R. S.",author
"Chichester A. Bell, M. B.",author
"R. Bowdler Sharpe, F. L. S., F. Z. S., etc.",author
"Sir David Salomons, Bart., M. A., V.-P.",author
Abbe Chappe,author
Henry Coddington,author
John R. Young,author
"C. William Siemens, D. C. L., LL. D., F. R. S.",author
"W. M. Thornton, D. Sc., D. Eng.",author
"James C. McConnel, M. A.",author
Mabel Purefoy Fitzgerald,author
Dr. Woodward,author
"Lieutenant-General J. T. Walker, R. E., F. R. S.",author
"H. Moore, B. Sc., A. R. C. S.",author
"Sch\#xE4;fer, F. R. S",author
C. V. Walker,author
"E. Parr Metcalfe, B.Sc.",author
Robert FitzRoy,author
"C. M. Williams, B. Sc.",author
"Right Honourable Lord Blythswood, LL. D.",author
"J. Henderson-Smith, M. B.",author
"C. Theodore Williams, M. A., M. D., F. R. C. P.",author
James Augustus Hamilton,author
"Prof. Wyville Thomson, F. R. S.",author
"Lieut. -Colonel Festing, R. E.",author
Amherst,author
J. Proudman,author
"W. M. Hicks, F. R. S.",author
"J. Joly, F. R. S.",author
"Herbert H. Henstock, M. Sc., Ph. D.",author
Mr. Crispe,author
"Prof. A. Gray, F. R. S.",author
Cheney Hart,author
"Dr. Maxwell Simpson, F. R. S.",author
Robert Woodhouse,author
Dr. Horsley,author
G. Martin Duncan,author
Alfred Hutchison Smee Jun.,author
"G. S. Blake, A. R. S. M.",author
"Percy Groom, M. A., D. Sc., F. L. S.",author
W. E. Dixon.,author
Mr. Heathcott,author
Lewis F. Richardson,author
Mr. Price,author
