id,type
"Augustus Matthiessen, F. R. S.",author
John Dobyns,author
A. Williamson,author
C. W. Daniels,author
"J. E. Petavel, A. M. I. C. E., A. M. I. E. E.",author
"William Ramsay, F. R. S.",author
W. Lax,author
"Ernest S. Salmon, F. L. S.",author
Thomas Dobson,author
Mons. Allemand,author
"H. H. Dale, C. B. E., M. D., F. R. S.",author
"the Hon. R. J. Strutt, M. A., F. R. S.",author
"A. R. Forsyth, M. A., Sc. D., F. R. S.",author
"Professor A. W. Williamson, For. Sec. R. S.",author
"J. T. Cunningham, M. A.",author
Samuel Hunter Christie,author
William Dittmar,author
T. M.,author
"William J. Pope, F. R. S.",author
R. H.,author
J. W. King,author
Alfred Smee,author
John Phillips,author
"A. S. F. Gr\#xFC;nbaum, M. A., M. D. Cantab., M. R. C. P.",author
"F. W. Oliver, D. Sc., F. L. S.",author
Captain Williams,author
"H. F. Baker, Sc. D., F. R. S.",author
"Professor F. Guthrie, F. R. S.",author
John Thomas Graves,author
"S. J. M. Auld, Ph. D.",author
John George Children,author
"E. W. Marchant, D. Sc.",author
"H. E. Armstrong, Ph. D., LL. D., F. R. S.",author
Edward Smyth,author
N. Regnart,author
Charles Lucas,author
"Charles Creighton, M. B.",author
"C. S. Sherrington, M. A., M. D.",author
"Sir Robert A. Hadfield, Bt., F. R. S.",author
"W. Froude, M. A., F. R. S.",author
"W. H. M. Christie, F. R. S.",author
"Dr. Mott, F. R. S.",author
C. O. Waterhouse,author
Charles Bernard,author
"Prof. J. B. Farmer, F. R. S.",author
Alexander Volta,author
"Alfred Tribe, E. C. S.",author
John Hyde,author
Matthew Guthrie,author
J. T. Desaguiliers,author
E. Frankland Armstrong,author
A. A. C. Swinton,author
"W. T. Thiselton Dyer, C. M. G., F. R. S.",author
"Herbert Stansfield, B. Sc.",author
"H. L. Porter, B. Sc.",author
"T. H. Huxley, Sec. R. S.",author
J. Alexander,author
"A. C. Dixon, Sc. D.",author
"Alexander Edington, M. B., F. R. S. E.",author
Charles Rumker,author
Marquis Cornwallis,author
"W. L. Bragg, B. A. ",author
"F. O. Bower, F. L. S.",author
"Warren De La Rue, Esq.",author
J. Hadley,author
John Goodsir,author
"Sir James J. Dobbie, F. R. S.",author
Professor M. Foster Sec. R. S.,author
Thomas Greatorex,author
"Professor James Dewar, M. A., F. R. S.",author
William H. Parker,author
"Sir William de W. Abney, K. C. B., F. R. S.",author
Dr. Nasmyth,author
"Sir Robert Ball, F. R. S.",author
"Alfred W. Porter, B. Sc.,",author
Samuel B. Howlett,author
Gio. Domen Cassini,author
"Professor W. E. Dalby, M. A.",author
"Jagadis Chunder Bose M. A., D. Sc.",author
Charles Blacklewar,author
"B. Mouat Jones, B. A. (Oxon.)",author
"A. Mallock, F. R. S.",author
"Prof. E. C. C. Baly, F. R. S.",author
"H. H. Turner, M. A., F. R. S.",author
Lieut. Colonel Sabine,author
"G. Rolleston, M. D.",author
"Lord Kelvin, Pres. R. S.",author
Richard Stafford,author
Paulo Boccone,author
Conr. Joach. Sprengell,author
Richard Davies,author
G. Lippmann,author
Richard Chenevix,author
"W. K. Spencer, B. A., F. G. S.",author
John Lightfoot,author
"Professor Clifton, F. R. S.",author
Peter Wargentin,author
H. J. Chaney,author
"Dr. J. Reynolds Green, F. R. S.",author
"Professor Starling, M. D., F. R. S.",author
"H. W. Watson, D. Sc., F. R. S.",author
C. H. Parry,author
The Astronomer Royal,author
"J. Larmor, M. A., D. Sc., Sec. R. S.",author
Mrs. M. Somerville,author
John Ward,author
B. Wilson,author
Margaret Cutting,author
"Edward Horton, B. Sc.",author
"C. B. Clakke, F. R. S.",author
William Marshall,author
"Colonel D. Bruce, C. B., F. R. S., R. A. M. C.",author
W. L. Symes.,author
H. D. Dakin,author
"J. T. Leon, B. Sc., F. C. S.",author
John Flamsted,author
Philip Yorke,author
John William,author
"Lord Lister, F. R. S.",author
"Prof. Sir W. Thomson, F. R. S.",author
"W. Crookes, F. R. S.",author
"Robert Kennedy, M. A., D. Sc., M. D.",author
"J. H. Brinkworth, A. R. C. S., B.Sc.",author
"J. J. Thomson, M. A., F R. S.",author
"Herbert E. Durham, B. A.",author
"Major P. A. MacMahon, R. A., F. R. S.",author
Franc Linus,author
"Dr. E. Klein, F. R. S.",author
Dr. Papin,author
James Mease,author
Michael Topping,author
Professor W. E. Ayrton,author
"S. E. Sheppard, D. Sc. (Lond.)",author
Malachy Hitchins,author
"Frank D. Adams, M. Sc., Ph. D.",author
"Alfred W. Porter, B. Sc.",author
"Professor A. G. Greenhill, F. R. S.",author
"H. C. Greenwood, M. Sc.",author
"Arthur Harry Church, M. A., D. Sc.",author
"J. O. Wakelin Barratt, M. D., B. Sc. Lond.",author
"Thomas Andrews, F. R. S.",author
"T. H. Havelock, F. R. S.",author
Dr. Gwither,author
R. A. S. ,author
"Nevil Story Maskelyne, F. R. S.",author
"A. Cayley, LL. D.",author
Lieut Wood,author
"V. H. Veley, M. A., F. R. S.",author
"Sir William Crookes, D. Sc., F. R. S.",author
"T. E. Thorpe, B. Sc., PH. D., F. R. S.",author
Charles Wilkins,author
Burnet Abercrombie,author
A. A. Campbell Swinton.,author
"George C. Simpson, B. Sc.",author
William Becket,author
"J. A. Murray, M. B.",author
Mary Hewlett,author
"Sir W. Thomson, Knt., F. R. S.",author
Miss Herschel,author
Francis Monginot,author
"E. M. Wellisch, M. A. (Sydney)",author
"Dugald M\amp;apos;Kichan, M. A.",author
"Sir John Conroy, Bart., M.A.",author
"M. Benson, D. Sc., F. L. S.",author
"Alexander Forbes, M. A., M. D.",author
Sir W. Thomson.,author
"A. W. Williamson, For. Sec. R. S.",author
Mr.Wray,author
S. C. Tisley,author
"J. L. W. Thudichum, M. D., F. R. C. P. Lond.",author
"J. H. Ashworth, B. Sc.",author
"Professor Henrici, F. R. S.",author
Davies Gilbert,author
"William B. Carpenter, C. B., M. D., LL. D., F. R. S.",author
Wilson Philip,author
Edward Belcher,author
W. B. Hardy,author
George Dionysius Ehret,author
"Robert A. Houstoun, M. A., Ph. D., D. Sc.",author
"Prof. M. Foster, Sec. R. S.",author
"Osborne Reynolds, M. A., LL. D., F. R. S.",author
"W. C. D. Whetham M. A., F. R. S.",author
James Horsefall,author
"W. Ramsay, Ph. D.",author
"Captain C. F. U. Meek, M. Sc., F. L. S., F. Z. S.",author
William Jackson,author
"Professor Victor Horsley, F. R. S.",author
"W. D. Lang, Sc. D., F. G. S.",author
"Prof. H. L .Callendar, F. R. S.",author
"Wm. C. Williamson, LL. D., F. R. S.",author
"George W. Walker, M. A., A. R. C. Sc., F. R. S.",author
"Sir John Rose Bradford, Sec. R. S.",author
"Wm. H. Howelll, A. B.",author
"Francis Darwin, M. A., M. B., F. R. S.",author
Monsieur Mariotte,author
J. P. Joule,author
John Fuller,author
A. Bennet,author
Samuel Horsley,author
"Professor E. B. Poulton, F. R. S.",author
"Alfred Hutchison Smee, F. C. S., F. S. S.",author
"W. B. Bottomley, M. A.",author
A. M. Drach,author
"Professor G. C. Foster, F. R. S.",author
"Pro\#xAD;fessor S. J. Hickson, F. R. S.",author
Henry Ettrick,author
Robert Gardener,author
"J. Emerson Reynolds, M. D., Sc. D., F. R. S.",author
"H. Marshall Ward, M. A., F. R. S.",author
"Thomas Cherry, M. D., M. S. Melb.",author
J. Denis,author
Petr. Simon Pallas,author
Antonio Benevoli,author
"Captain Beaufort, R. N., F. R. S., \amp;c.",author
M. Jean Denis,author
Peter Hardy,author
Edmund Ronalds,author
E. G. Gallop,author
"Prof. F. T. Trouton, F. R. S.",author
"T. H. Huxley, Esq., Sec. R. S.",author
"L. F. Vernon-Harcourt, M. A., M. Inst. C. E.",author
"F. A. Dixey, M. A., M. D.",author
J. Perks,author
Al. Russell,author
"E. F. Bashford,\#xA0;M. D.",author
"Professor H. S. Hele-Shaw, F. R. S.",author
Charles Dor\#xE9;e,author
"G. W . Royston- Pigott, M. A., M. D. Cantab., M. R. C. P., F. C. P. S., F. R. A. S.",author
Doctor Smith,author
"E. G. Coker, M. A. (Cantab.), D. Sc. (Edin.)",author
M. O&apos;Brien,author
" Sir Robert S. Ball, F. R. S.",author
"E. J. Stone, F. R. S.,",author
"David Ferrier, M. A., M. D.",author
"Sir Lauder Brunton, F. R. S.",author
Monsr de L&apos;Isle,author
"Henry Wilde, F. R. S.",author
F. Girald\#xE8;s,author
Dr. T. Zammit,author
A. Vievar,author
"Professor W. G. Adams, M. A., F. R. S. ",author
"Sir Thomas R. Fraser, M. D., F. R. S.",author
Mr. Muller,author
Capt. Newland,author
"G. N. Watson, M. A., D. Sc.",author
"M. J. M. Hill, M. A. ",author
John Frederick William Herschel,author
F. W. D. ,author
Robert Kane,author
J. A. Longridge,author
John Dalton,author
" Professor Moseley, F. R. S.",author
James South,author
Mr. Locke,author
"Sir William Huggins, Pres. R. S.",author
"Professor Thos. Carnelley, D. Sc.",author
"Dr. B. W. Richardson, F. R .S.",author
Mr. De Hondt,author
"E. H. Griffiths, Sc .D., F .B .S.",author
"Sir Edward Thorpe, C. B., LL. D., F. R. S.",author
"Sir A. Noble, Bart., K. C. B., D. Sc. (Oxon), D. C. L., F. R. S.",author
Martin Flack,author
W. Withering,author
"F. C. Penrose, F. R. A. S.",author
"Professor H. A. Miers, M. A., D. Sc., F. R. S.",author
Arthur John Berry,author
"The Hon. Sir Charles Parsons, F. R. S.",author
"R. T. Glazebrook, B. A.",author
Miss M. G. Sykes,author
Dr. Bohadsch,author
Samuel Carte,author
"E. P. Cathcart, M. D.",author
"George W. Walker, B. A., A. R. C. Sc.",author
"Thomas Martin Lowry, D. Sc.",author
"Francis Darwin, M. B., For. Sec. R. S.",author
Robert James,author
Christopher Wren,author
"Sydney W. Cole, B. A. ",author
"Professor Wyndham R. Dunstan, M. A., LL. D., F. R. S.",author
Abraham Brook,author
"Captain Darwin, R. E.",author
"Captains A. E. Hamerton, D. S. O.",author
Herbert M\amp;apos;Leod,author
"P. L. Gray, B. Sc., Assoc. R. C. S.",author
"J. H. Ashworth, B.Sc.",author
James Horsfall,author
Dr. Brinkley,author
James Sherwood,author
"Alexander Scott, B. A.",author
"W. Wilson, B. A., M. Sc.",author
"Professor Michael Foster, Sec. R. S.",author
Walter Hoxton,author
" R. T. Glazebrook, F. R. S.",author
William Hanry Flower,author
William Fidge,author
"C. V. Boys, A. R. S. M., F. R. S.",author
Professor Manfredo Bellati,author
J. Howard Mummery.,author
"Prof. F. W. Mott, F. R. S.",author
Paul D. White,author
"The Lord Kelvin, D. C. L., LL. D.",author
William Marsden,author
"J. Sholto C. Douglas, M. A., B. M.",author
"J. O. Wakelin Barratt, M. D., B. Sc., Lond.",author
J. W. Hittorf,author
J. W. Strutt,author
Christopher Leefe Dresser,author
"William Spottiswoode, M. A., F. R. S.",author
"Major P. A. MacMahon, F. R. S.",author
George Martin,author
"Edward Matthey, C. B., F. S. A., F. C. S.",author
"F. W. Gamble, D. Sc.",author
Jacob Perkins,author
Casparus Wendland,author
Robert Chambers,author
"Sir John Rose Bradford, K. C. M. G., Sec. R. S.",author
Mr. Ellis,author
"D. S. Ainslie, M. A.",author
H. Ll. Bassett,author
"P. E. Shaw, B. A., D. Sc.",author
"K. Pearson, F. R. S.",author
"Prof. W. H. Bragg, F. R. S.",author
"Frederick D. Brown, B. Sc.",author
"J. O. Wakelin Barratt, M. D., D. Sc. Lond.",author
Ab. De Moivre,author
John Denis Macdonald,author
Dr. L. Bleekrode,author
"Dr. C. S. Sherrington, F. R. S.",author
Benjamin Loewy,author
Lieut. Rokeby,author
"Professor Osborne Reynolds, LL. D., F. R. S.",author
Golding Bird,author
Robert McDonnell,author
"Professor McKenny Hughes, F. R. S.",author
Right Rev. Charles,author
"C. B. Alder Wright, D. Sc., F. R. S.",author
Francis Masson,author
Will. Byrd,author
Professor McKendrick,author
"G. B. Airy, LL. D., \amp;c.",author
Dr. Constantin Baron Ettingshausen,author
T. Sterry Hunt,author
"Professor G. B. Howes, LL. D., D. Sc., F. R. S.",author
"W. T. David, M.A., D.Sc.",author
"R. T. Glazebrook, D. Sc., F. R. S.",author
A. C. G. Egerton,author
Frederick Guthrie.,author
Mr. Platt,author
"Leveson Francis Vernon-Harcourt, M. A.",author
Moulon,author
Mons. La Condamine,author
R. W.,author
"Sir John Murray, K. C. B., F. R. S.",author
F. Lydall,author
Fettiplace Bellers,author
Henry J. Stephen Smith,author
"J. B. Hannay, F. R. S. E., \amp;c.",author
"Horace T. Brown, F. R. S.",author
"Sir W. Turner, F. R. S.",author
John Henry Hampe,author
Dr. R. Whytlaw Gray,author
"A. Cayley, LL.D., F. R. S.",author
"Prof. A. H. Gibson, D. Sc.",author
"J. W. Judd, F. R. S., Sec. G. S.",author
Leslie Bramley-Moore,author
"Rev. M. J. Berkeley, M. A., F. L. S.",author
William Gorsuch,author
C. J. Spregnell,author
Edward Brown,author
Michael Foster,author
J. M. Ferrall,author
Messrs. Arnold and Dent.,author
"Hugo M\#xFC;ller, Ph. D., F. R. S.",author
S. S. Hough,author
"J. N. Langley, M. A., F. R. S.",author
"Prof. W. F. R. Weldon, F. R. S.",author
Micheli,author
"V. H. Velby, M. A.",author
Philip de Malpas Grey Egerton,author
"E. F. Armstrong, D. Sc., F. I. C.",author
Joshua Steele,author
Ingvar J\#xF6;rgensen,author
Michael Lort,author
"Henry E. Armstrong, F. R .S",author
William Beneke,author
John F. Miller,author
Edith R. Saunders,author
"Prof. S. H. Vines, F. R. S.",author
James Prinsep,author
Philip Percival,author
Bryant Higgins,author
P. De Lange,author
"A. W. R\#xFC;cker, M. A. (Fellow of Brasenose College, Oxford)",author
John Horsley,author
F. O. Ward,author
"J. W. Nicholson, M. A., D. Sc.",author
"W. J. Macquorn Rankine, C. E., LL. D., F. R. S. Lond. and Edin.",author
Pasqual R. Pedini,author
"Sir M. Foster, Sec. R. S.",author
"G. Lapage, M. Sc.",author
Thomas Thomlinson,author
"Bayley Balfour, Sc. D.",author
"Bevan Lewis, L. R. C. P. Lond.",author
"J. P. Kuenen, Ph. D.",author
F. P. Worley.,author
Edward Whymper,author
Grace C. Frankland. ,author
Mr. Poupart,author
Dr. Wyville Thomson,author
"P. A. MacMahon, Major R. A., F. R. S.",author
Wm. Derham,author
Peter Griess,author
"Thomas Davidson, F. R. S.",author
"Sir Edward Sabine, F. R. S.",author
James Anderson,author
E. Wheeler,author
Dr. R. Romanese,author
William Green,author
"William H. Lang, M. B., D. Sc.",author
Joseph Planta,author
R. A. Krause,author
Samuel Sharp,author
"J. W. L. Glaisher, M. A. ",author
E. B. R. Prideaux,author
"J. Nicol, B. A., B. Sc.",author
Mr. Rook,author
Harold Wager,author
"W. P. Herringham, M. B., M. R. C. P.",author
A. Van Beek,author
Robert Saunders,author
Isabella M. Drummond,author
Fr. Linus,author
"F. M. Balfour, LL. D., F. R. S.",author
W. Bowman,author
J. Huxham,author
Prof. Cayley.,author
Arthur Jacob,author
Mr. Crocker,author
"N. Eumorfopoulos, B. Sc.",author
M. Picart,author
John Rutty,author
William Esson,author
"Prof. W. G. Adams, F. R. S.",author
P. Silvestre,author
Mr. Strachan,author
M. H. Jacobi,author
"Sydney J. Hickson, F. R. S.",author
"Sir T. Lauder Brunton, M. D., F. R. S.",author
Ambrose Godfrey Hanckewitz,author
Rev. George Salmon,author
M. Aug. Cahours,author
C. H. Burgess,author
A. Mannheim,author
"Professor Adolph Wurtz, For. Mem. R. S.",author
Benj. Heath,author
"Sir Michael Foster, K. C. B., F. R. S.",author
"Marshall Ward, Sc. D., F. R. S., F. L. S.",author
William Dodgson,author
"Professor F. W. Dyson, F. R. S.",author
Sydney Ringer,author
Thomas Maclean,author
"Nevil Story Maskelyne, M. A., F. R. S.",author
"Swale Vincent, M. B. (Lond.)",author
"Prof. P. F. Frankland, F. R. S.",author
"J. R. Green, M. A., F. L. S.",author
William Heberden,author
"John W. Pickering, D. Sc. (Lond.).",author
"H. W. Gosney, B. Sc.",author
M. Henri Moissan,author
"Walter Rosenhain, B. A., D. Sc., F. R. S.",author
Cranbrook,author
D. P.,author
C. Vogt,author
Samuel du Gard,author
Gustav Hemsalech,author
"J. G. Adami, M. D., M. A.",author
Clerk Ranken,author
"D. No\#xEB;l Paton, M. D., B. Sc., F. R. C. P. Ed. ",author
"Aldo Castellani, M. D.",author
Professor A. B. Macallum,author
"Prof. Cayley, F. R .S.",author
Gilbert Blane,author
Will. Cowper,author
Thomas Bayes,author
"Alexander J. Ellis, F. R. S.",author
Jos. Atwell,author
"W. S. Greenfield, M. D., F. R. C. P.",author
"William Crookes, F. R. S., \amp;c.",author
Francis Nevill,author
"Professor Larmor, Sec. R. S.",author
"J. Y. Buchanan, M. A., F. R. S. E.",author
"H. A. Wilson, F. R. S.",author
"A. Harden, F. R. S.",author
George Rainey,author
"S. W. J. Smith, M. A., A. R. C. S.",author
"Prof. J. Symington, F. R. S.",author
"J. A. McWilliam, M. D.",author
Charles Dupin,author
"J. Prestwich, F. R. S., F. G. S., \amp;c.",author
"The Hon. R. J. Strutt, F. R. S.",author
Professor Dr. Paul Ehrlich,author
James Cook,author
Martin Martin,author
J. F. Stephen,author
Giornale de Letterati,author
"Franklin Kidd, B. A.",author
J. J. Murphy,author
James Johnston,author
"Capt. Noble, F. R. S., F. R. A. S., F. C. S.",author
"J. C. McLennan , F. R. S",author
R. Watson,author
Thomas Thomson,author
"Stewart R. Douglas, M. R. C. S.",author
J. G. Scheuchzer,author
Mr. Hawkesbee,author
"J. Viriamu Jones, F. R. S.",author
"E. A. Schafer, F. R. S.",author
J. D. Hamilton Dickson,author
"F. Gowland Hopkins, M. B., B. Sc.",author
John Corse,author
"Prof. E. W. MacBride, F. R. S.",author
"Charles Meldrum, M. A.",author
Thomas Henshaw,author
"John S. Townsend, M. A. (Dublin)",author
William Milbourne,author
James Clark,author
Jo. Wallis,author
Arthur Bury,author
"Greville Williams, F. R. S.",author
"Sir William Wharton, K. C. B., F. R. S.",author
"W. H. Mason, B. Sc.",author
"Sir J. J. Thomson, O. M., F. R. S.",author
"Sir William Crookes, O. M., P. R. S.",author
"Henry E. Armstrong, Ph. D., F. R. S.",author
"G. I. Higson, M. Sc., A. I. C.",author
J. A. Broun,author
Abb\#xE9; Nollet,author
Thomas Harmer,author
"Charles G. Barkla, D. Sc.",author
George Forbes,author
John Fothergill,author
John Davy,author
Thomas Weaver,author
"Michael Foster, M. D., F. R. S.",author
B. Loewy,author
Hugh S. Stannus,author
"W. L. Cowley, A. R. C. Sc., D. I. C.",author
Albert Schrauf,author
"F. Crace-Calvert, F. R. S.",author
S. Y. ,author
P. G. Nutting.,author
Carl Vogt,author
"M. C. Potter, M. A., F. L. S.",author
Noah Sherwood,author
Dr. Frobenius,author
"Walter Gardiner, B.A.",author
F. Crace-Calvert,author
John Warren,author
Thomas Short,author
"T. Turner, M. Sc., A. R. S. M.",author
"Professor J. S. Burdon Sanderson, F. R. S.",author
William Brakenridge,author
Charles James Hargreave,author
Robert M&apos;Donnell,author
"C. J. Martin, F. R. S.",author
Maxwell Garthshore,author
"F. W. Mott, M. D., F. R. S. ",author
A. Wynter Blyth,author
"Professor Owen, C. B., F. R. S., \amp; c.",author
"W. H. Young, M. A., Sc. D., F. R. S.",author
"Augustus D. Waller, M. D., F. R. S.",author
Mr. C. Davidson,author
"R. C. Punnett, B. A., ",author
"G. F. Dowdeswell, M. A.",author
William Howship Dickinson,author
Michael Tyson,author
Ja. Newton,author
"William Wilson, Ph. D.",author
"William Sutherland, M. A. Melbourne",author
P. Francesco Lana,author
"Thomas Ralph Merton, B. Sc. (Oxon.).",author
"James Walker, F. R. S.",author
"Sir Joseph Larmor, Sec.R. S.",author
Charles Jernegan,author
"W. Lassell, F. R. S., V. P. R. A. S.",author
"R. D. Keith, M. A., M. D.",author
"F. E. Fritsch, D. Sc., Ph. D., F. L. S.",author
"Professor Viriamu Jones, F. R. S.",author
"R. C. Rowe, M. A.",author
"Professor Ramsay, F. R. S.",author
Marshall Hall,author
"Admiral Richards, C. B., V. P. R. S.",author
Arthur C. W. Lennox,author
"Lord Lister, P. R. S.",author
Captain Wallis,author
"Major Ronald Ross, C. B., F. R. S.",author
Hilda Lake,author
"Arthur Gardiner, Butler, F. L. S., F. Z. S., \amp;c.",author
Samuel More,author
"Henry E. Roscoe, B. A., Ph. D., F. R. S.",author
C. Greville Williams,author
William H. Perkin,author
"Prof. Wyville Thomson, LL. D., D. Sc., F. R. S.",author
John Ellicott,author
"W. G. Duffield, D. Sc.",author
Daniel De Superville,author
"J. L. W. Thudichum, M. D., F. R. C. P. L.",author
"Frederick Soddy, M. A., F. R. S.",author
" J. Larmor, Sec. R. S. ",author
"Alexander S. Russell, M. A., B. Sc.",author
H. Holland,author
"Rev. Samuel Haughton, F. R. S., M. D. Dubl., D. C. L. Oxon.",author
"P. Martin Duncan, M. B. Lond., F. R. S., \amp;c.",author
M. Leewenhoeck,author
Von Emanuel Lasker,author
Mr. Sartorius,author
"E. Klein, M. D.",author
"E. H. Starling, F. R. S.",author
Dorothy M. Cayley,author
"J. C. Maxwell Garnett, B. A.",author
E. H. Archibald,author
"Dr. Pye Smith, F. R. S.",author
Miss M. Beeton,author
Benjamin Bewick,author
G. Gore,author
Bertram D. Steele,author
Xenophon,author
"J. Norman Collie, F. R. S.",author
"Arthur W. Conway, F. R. S.",author
C. H. Stearn,author
"H. M. Vernon, B. A.",author
Charles Ellis,author
"Professor G. Carey Foster, B. A., F. R. S.",author
"E. P. Perman, D. Sc.",author
"D. H. Scott, M.A., Ph.D., F. R. S.",author
"J. Crosby Chapman, B. Sc.",author
Benjamin Bevan,author
"Captain Noble (late R. A.), F. R. S., F. R. A. S., F. C. S., \amp;c.",author
Tayshoo Lama,author
Lieutenant-General Sabine,author
"J. E. S. Moore, A. R. C. S.",author
"C. Handfield Jones, M. B. Cantab, F. R. S.",author
Dr. Edward Frankland.,author
Hugh Lord Willoughby,author
Clarence Smith.,author
Edward Legge,author
"Professor A. R. Forsyth, Se.D., F. R. S.",author
"Sir William Crookes, O. M., F. R. S., LL. D., D. Sc., \amp;c.",author
"Prof. Parkes, M. D., F. R. S.",author
Henry E. Armstrong (F. R. S.),author
Stephen Gray,author
"P. L. Gray, B. Sc.",author
Rich. Wroe,author
Thomas Lawrence,author
James Rawlins Johnson,author
M. l&apos; Abbe Barthelemy,author
James Short,author
Miss. A. Jackson,author
"A. R. Forsyth, Sc. D., F. R. S.",author
"Howard Payn, F. R. A. S.",author
"C. A. MacMunn, M.A., M.D.",author
James Ferguson,author
"J. W. Bispham, B. A., B. Sc.",author
"Professor A. Cayley, LL. D., F. R. S.",author
"Prof. J. S. Townsend, F. R. S.",author
"Dr. Alex. Muirhead, F. R. S.",author
Benjamin Robins,author
W. Sutherland,author
E. W. Brayley,author
"George Dickie, M. D., F. L. S.",author
J. H. ,author
C. Brooke,author
"J. Dewar, F. R. S.",author
"George J. Burch, M. A., F. R. S.",author
Edward Thornycroft,author
C. I. Forsyth Major,author
Josiah Colebrooke,author
Francis Hauksbee,author
"George P. Mudge, A. R. C. Sc. Lond., F. Z. S.",author
"A. C. Ramsay, LL. D.",author
Maurice Wheeler,author
"A. O. Rankine, D. Sc.",author
"Arthur Gamgee, M. D., F. R. C. P., F. R. S., Hon. LL. D. Edin., Hon. D. Sc. Manch.",author
"Ralph Copeland, Ph. D., F. R. A. S., F. R. S. E.",author
Mons. Daviel,author
"G. F. Dowdeswell, M. A. (Cantab.), F. L. S., F. C. S., \amp;c.",author
Pappus of Alexandria,author
T. H. Farrer,author
"Frank Horton, D. Sc., B. A.",author
Erasmus Bartholin,author
Venerable Archdeacon Pratt,author
J. L. Tupper,author
"Major W. H. Horrocks, R. A. M. C.",author
"S. Del\#xE9;pine, M. B.",author
William Brownrigg,author
George Mackenzie,author
Mr. J. Norman Lockyer.,author
"Robert E. Savage, A. R. C. Sc.",author
Mons. Grovestins,author
"Frank Dawson Adams, M. Sc., Ph. D., F. G. S.",author
Philip Miller,author
"W. R. Bousfield, M. A., K. C.",author
"Sir Archibald Geikei, K. C. B.",author
"Herbert Tomlinson, B. A. F. R. S.",author
"W. E. Adeney, F. C. S.",author
"W. R. Bousfield, M. A. K. C.",author
E. J. Reed,author
"John S. Townsend, M. A. Dub. ",author
"T. Lauder Brunton, M. D., F. R. S.",author
John Goldingham,author
A. M. F. ,author
"Professor Victor Horsley, F. R. S., B. S., F. R. C. S.",author
William Scott,author
James G. Tatem,author
Cyprian Wollowicz,author
Major J. H. Mansell,author
Howard De Walden,author
"H. Charlton Bastian, M. D., F. R. S., F. L. S.",author
"J. H. Jeans, M. A., F. R. S.",author
P. H. P-S.,author
"George Massee, F. L. S.",author
"Sir J. Hendry Gilbert, F. R. S.",author
John Nettis,author
Thomas Coxe,author
Richard Townley,author
J. Planta,author
"Dr. F. G. Hopkins, F. R. S.",author
"J. H. Gladstone, Ph. D.",author
William Taylor Thomson,author
"Alfred Daniel Hall, M. A., F. R. S.",author
Sir James N. Douglass.,author
Tho. Hope,author
"Thomas Reid, M. D.",author
Edward Bailey,author
"Sir George Biddell Airy, K. C. B., P. R. S.",author
J. Y. Buchanan ,author
H. W. Gosney. B. Sc.,author
Alex. Stuart,author
"Swale Vincent, M. D., D. Sc., F. R. SS. E. and C.",author
H. E. Roscoe,author
B. Moore,author
"David Fraser Harris, M. D., B. Sc. (Lond.)",author
"C. J. Forsyth Major, M. D.",author
Dr. W. Kowalevsky,author
Miss M. Wheldale,author
"William Esson. M. A., F. R. S.",author
"Lord Kelvin, D. C. L., LL. D.",author
Dr. F. W. Edridge-Green.,author
G. C. F. ,author
C. W. Younghusband,author
James B. Jordan,author
Professor Oswald Heer,author
"Captain W. de W. Abney, C.B., R.E., D.C.L., F. R. S.",author
"David Ellis, Ph. D., D. Sc., F. R. S. E.",author
William Herschel,author
George Busk,author
"W. G. Adams, M. A., F. R. S.",author
"Professor T. G. Bonney, Sc. D., LL. D., F. R. S.",author
"R. T. Glazebrook, F. R. S.",author
"C. T. R. Wilson, B. Sc. (Vict.), M. A. (Cantab)",author
M. Cuthbeetson,author
"Dr. Sibson, V. P. R. S.",author
"Margaret Tribe, M. Sc. (Lond)",author
"Andrew Gray, F. R. S.",author
"Professor Stokes, D. C. L., P. R. S.",author
S. M. Gilliss,author
Dr. Oliver,author
Phil. Hen. Zollman,author
Henry Kater,author
"R. E. Day, M. A.",author
Mr. Stubbs,author
"George Busk, Esq., F. R. S.",author
Henry Reeve,author
Arthur Farre,author
"Fleeming Jenkin, F. R. SS. L. \amp; E.",author
Chr. Warren,author
Mr. Ent,author
Mr. Hommel,author
"F. W. Edridge-Green, M. D., F. R. C. S.",author
A. Cayley. F. R. S.,author
Alexander Small,author
"W. M. Hicks, M. A.",author
"J. Perry, F. R. S.",author
"Prof. Allman, F. R. S.",author
"W. T. Thiselton Dyer, Esq., F. R. S., Director.",author
"J. Larmor, F. R. S.",author
J. E. R. ,author
"W. Neilson Jones, M. A.",author
Monsieur De L&apos;Isle,author
James Farquharson,author
"Major-General J. Waterhouse, I. S. C.",author
"Rev. G. Salmon, D. D., F. R. S.",author
"E. W. Marchant, D. Sc., M. I. E. E.",author
"Prof. E. B. Poulton, F. R. S.",author
Augustus Waller,author
Nicholas Witsen,author
"Prof. A. W. Williamson, For. Sec. R. S.",author
"J. Simon, C. B., D. C. L., F. R. S",author
Lilian Sheldon,author
"William Crookes, F. R. S., Pres. C. S.",author
J. Rhodin,author
Tho. Short,author
James Watt,author
John Eames,author
Robert H. Atherton,author
Count de Bournon,author
"J. S. Lombard, M. D.",author
Hermann de Schlagintweit,author
Archdeacon Pratt,author
D. B.,author
Mr. Herschel,author
Dr. Storke,author
"G. Cook, M. Sc.",author
Major Sabine,author
"Prof. Francis Gotch, F. R. S.",author
