target,source,type
rspl_1874_0009,"John Tomes, F. R. S.",authored
rspl_1874_0010,"Charles T. Tomes, M. A.",authored
rspl_1874_0010,"John Tomes, F. R. S.",authored
rspl_1874_0011,"G. F. Rodwell, F. R. A. S., F. C. S.",authored
rspl_1874_0011,"Professor Frederick Guthrie, F. R. S.",authored
rspl_1874_0012,"G. F. Rodwell, F. R. A. S., F. C. S.",authored
rspl_1874_0012,"Prof. Stokes, Sec. R. S.",authored
rspl_1874_0013,"Richard C. Shettle, M. D.",authored
rspl_1874_0013,"Dr. Lockhart Clarke, F. R. S.",authored
rspl_1874_0014,"W. H. L. Russell, F. R. S.",authored
rspl_1874_0015,"W. Lassell, F. R. S., V. P. R. A. S.",authored
rspl_1874_0016,J. Y. Buchanan,authored
rspl_1874_0016,"Prof. A. W. Williamson, For. Sec. R. S.",authored
rspl_1874_0017,"T. H. Huxley, Sec., R. S.",authored
rspl_1874_0018,Henry H. Slater,authored
rspl_1874_0018,Prof. Huxley,authored
rspl_1874_0019,"A. H. Garrod, B. A.",authored
rspl_1874_0019,"Dr. Garrod, F. R. S.",authored
rspl_1874_0020,"J. Norman Lockyer, F. R. S.",authored
rspl_1874_0021,"William Huggins, D. C. L., LL. D., F. R. S., For. Sec. R. A. S.",authored
rspl_1874_0022,"J. Tyndall, D. C. L., LL. D., F. R. S.",authored
rspl_1874_0023,"J. W. L. Glaisher, M. A.",authored
rspl_1874_0023,"James Glaisher, F. R. S.",authored
rspl_1874_0024,"William H. Johnson, B. Sc.",authored
rspl_1874_0024,"Prof. Sir William Thomson, LL. D., F. R. S.",authored
rspl_1874_0025,"Robert Mallet, F. R. S.",authored
rspl_1874_0026,"G. Thin, M. D.",authored
rspl_1874_0026,"Prof. Huxley, Sec. R. S.",authored
rspl_1874_0027,"Surgeon-Major F. de Chaumont, M. D.",authored
rspl_1874_0027,"Prof. Parkes, M. D., F. R. S.",authored
rspl_1874_0028,"J. B. N. Hennessey, F. R. A. S.",authored
rspl_1874_0028,"Prof. Stokes, Sec.R. S.",authored
rspl_1874_0029,"Robert Mallet, F. R. S. \amp;c.",authored
rspl_1874_0030,"William B. Carpenter, M. D., LL. D., F. R. S.",authored
rspl_1874_0031,"Prof. Wyville Thomson, F. R. S.",authored
rspl_1874_0032,"Prof. Allman, F. R. S.",authored
rspl_1874_0033,"J. B. N. Hennessey, F. R. A. S.",authored
rspl_1874_0033,"Prof. Stokes, D. C. L., Sec. R. S.",authored
rspl_1874_0034,"J. B. N. Hennessey, F. R. A. S.",authored
rspl_1874_0034,"Professor Stokes, Sec.R. S.",authored
rspl_1874_0035,William Shanks,authored
rspl_1874_0035,"Rev. Dr. Salmon, F. R. S.",authored
rspl_1874_0036,"T. Lauder Brunton, M. D., F. R. S., Sc. D., M. R. C. P.",authored
rspl_1874_0036,"J. Fayrer, C. S. I., M. D., F. R. C. P. Lond., F. R. S. E.",authored
rspl_1874_0037,"W. H. L. Russell, F. R. S.",authored
rspl_1874_0038,"Prof. W. G. Adams, M. A., F. R. S.",authored
rspl_1874_0039,John G. M\amp;apos;Kendrick,authored
rspl_1874_0039,James Dewar,authored
rspl_1874_0039,"J. Burdon Sanderson, M. D. F. R. S.",authored
rspl_1874_0040,"Rev. Samuel Haughton, M. D. Dublin, D. C. L. Oxon., F. R. S.",authored
rspl_1874_0041,"I. Todhunter, M. A., F. R. S.",authored
rspl_1874_0042,J. Y. Buchanan,authored
rspl_1874_0042,"Prof. Wyville Thomson, F. R. S.",authored
rspl_1874_0043,"G. Thin, M. D.",authored
rspl_1874_0043,"Professor Huxley, Sec. R. S.",authored
rspl_1874_0044,"Vice-Admiral E. Ommanney, C. B., F. R. S.",authored
rspl_1874_0045,"Captain W. J. Heaviside, R. E.",authored
rspl_1874_0045,"Professor Stokes, Sec. R. S.",authored
rspl_1874_0046,"Dr. M. Foster, F. R. S.",authored
rspl_1874_0046,"A. G. Dew-Smith, B. A.",authored
rspl_1874_0047,"J. Norman Lockyer, F. R. S.",authored
rspl_1874_0047,W. Chandler Roberts,authored
rspl_1874_0048,W. Chandler Roberts,authored
rspl_1874_0048,"Dr. Percy, F. R. S.",authored
rspl_1874_0049,Rev. A. E. Eaton,authored
rspl_1874_0049,President,authored
rspl_1874_0050,Warren De La Rue,authored
rspl_1874_0050,Hugo W. M\#xFC;ller,authored
rspl_1874_0050,William Spottiswoode,authored
rspl_1874_0051,"Charles S. Tomes, M. A.",authored
rspl_1874_0051,"John Tomes, F. R. S.",authored
rspl_1874_0052,T. E. Thorpe,authored
rspl_1874_0052,"Prof. Williamson, For. Sec. R. S.",authored
rspl_1874_0053,"Walter Noel Hartley, F. C. S.",authored
rspl_1874_0053,"Prof. Stokes, Sec. R. S.",authored
rspl_1874_0054,"William Crookes, F. R. S. \amp;c.",authored
rspl_1874_0055,"J. B. N. Hennessey, F. R. A. S.",authored
rspl_1874_0055,"Prof. Stokes, Sec. R. S.",authored
rspl_1874_0056,W. Harrison Cripps,authored
rspl_1874_0056,"Prof. Stokes, Sec. R. S.",authored
rspl_1874_0057,R. H. M. Bosanquet,authored
rspl_1874_0057,"H. J. Stephen Smith, F. R. S.",authored
rspl_1874_0058,"David Ferrier, M. A., M. D., M. R. C. P.",authored
rspl_1874_0058,"Dr. J. B. Sanderson, F. R. S.",authored
rspl_1874_0059,"David Ferrier, M. A., M. D.",authored
rspl_1874_0059,"Dr. Sanderson, V. P. R. S.",authored
rspl_1874_0060,"Col. J. T. Smith, F. R. S.",authored
rspl_1874_0061,"C. Handfield Jones, M. B. Cantab., F. R. S.",authored
rspl_1874_0062,"John Williams, M. D. Lond.",authored
rspl_1874_0062,"Dr. Sharpey, F. R. S.",authored
rspl_1874_0063,"Robert Mallet, F. R. S.",authored
rspl_1874_0064,"Sir W. Thomson, LL. D., F. R. S.",authored
rspl_1874_0066,"Prof. Cayley, F. R. S.",authored
rspl_1874_0067,"Professor Owen, C. B., F. R. S.",authored
rspl_1874_0068,W. C. Williamson,authored
rspl_1874_0069,"William Spottiswoode, M. A., Treas. R. S.",authored
rspl_1874_0070,"Prof. Sir William Thomson, F. R. S.",authored
rspl_1874_0071,Donald Macfarlane,authored
rspl_1874_0071,"Prof. Sir W. Thomson, F. R. S.",authored
rspl_1874_0072,"John Perry, B. E.",authored
rspl_1874_0072,"Professor Sir William Thomson, F. R. S., LL. D.",authored
rspl_1874_0073,"Prof. Sir William Thomson, F. R. S.",authored
rspl_1874_0074,W. Chandler Roberts,authored
rspl_1874_0074,"Dr. Percy, F. R. S.",authored
rspl_1874_0075,Prof. Cayley,authored
rspl_1874_0076,S. C. Tisley,authored
rspl_1874_0076,"W. Spottiswoode, M. A., Treas. R. S.",authored
rspl_1874_0077,"Lawson Tait, F. R. C. S.",authored
rspl_1874_0077,"W. S. Savory, F. R. S.",authored
rspl_1874_0078,Rev. E. A. Eaton,authored
rspl_1874_0078,President,authored
rspl_1874_0079,"J. E. H. Gordon, B. A.",authored
rspl_1874_0079,"Professor J. Clerk Maxwell, F. R. S.",authored
rspl_1874_0080,Professor Osborne Reynolds,authored
rspl_1874_0080,"Dr. Balfour Stewart, F. R. S.",authored
rspl_1874_0081,"William Spottiswoode, M. A., Treas. R. S.",authored
rspl_1874_0082,E. J. Nanson,authored
rspl_1874_0082,"Prof. Cayley, F. R. S.",authored
rspl_1874_0083,"T. R. Robinson, D. D., F. R. S., \amp;c.",authored
rspl_1874_0084,"Dr. Andrews, F. R. S.",authored
rspl_1874_0085,"J. A. Broun, F. R. S.",authored
rspl_1874_0086,"Professor W. G. Adams, F. R. S.",authored
rspl_1874_0087,"Prof. W. G. Adams, M. A., F. R. S.",authored
rspl_1874_0088,"F. W. Pavy, M. D., F. R. S.",authored
rspl_1874_0089,"I. Lowthian Bell, F. R. S.",authored
rspl_1874_0090,"E. J. Stone, M. A., F. R. S.",authored
rspl_1874_0091,"John Marshall, F. R. S., F. R. C. S. E. \amp;c.",authored
rspl_1874_0092,"John Marshall, F. R. S., F. R. C. S. E. \amp;c.",authored
rspl_1874_0093,"A. B. Kempe, B. A.",authored
rspl_1874_0093,"J. J. Sylvester, F. R. S.",authored
rspl_1874_0094,"H. E. Roscoe, F. R. S.",authored
rspl_1874_0094,"B. Stewart, F. R. S.",authored
rspl_1874_0095,"Staff-Commander E. W. Creak, R. N.",authored
rspl_1874_0095,"Captain Evans, R. N., F. R. S.",authored
rspl_1875_0001,"W. G. Adams, M. A., F. R. S.",authored
rspl_1875_0003,"By Prof. Wyville Thomson, F. R. S.",authored
rspl_1875_0004,John Priestley,authored
rspl_1875_0004,"Prof. Gamgee, F. R. S.",authored
rspl_1875_0005,"Rev. Samuel Haughton, M. D. (Dubl.), D. C. L. (Oxon.), F. R. S.",authored
rspl_1875_0006,"J. H. Gladstone, Ph. D., F. R. S.",authored
rspl_1875_0006,"Alfred Tribe, Esq.",authored
rspl_1875_0007,"F. W. Pavy, M. D., F. R. S.",authored
rspl_1875_0008,"H. N. Moseley, M. A. (Oxon.)",authored
rspl_1875_0008,"Professor Wyville Thomson, F. R. S.",authored
rspl_1875_0009,"Dr. J. Dalton Hooker, C. B.",authored
rspl_1875_0011,"G. Gore, F. R. S.",authored
rspl_1875_0012,"R. von Willem\#xF6;es-Suhm, Ph. D.",authored
rspl_1875_0012,"Prof. C. Wyville Thomson, F. R. S.",authored
rspl_1875_0013,"R. von Willem\#xF6;es-Suhm, Ph. D.",authored
rspl_1875_0013,"Prof. C. Wyville Thomson, F. R. S.",authored
rspl_1875_0014,"F. M. Balfour, B. A., F. L. S.",authored
rspl_1875_0015,"W. K. Parker, F. R. S.",authored
rspl_1875_0016,"G. J. Romanes, M. A., F. L. S.",authored
rspl_1875_0016,"Prof. Huxley, Sec. R. S.",authored
rspl_1875_0017,"William Turner, M. B. (Lond.)",authored
rspl_1875_0017,"Prof. Huxley, Sec. R. S.",authored
rspl_1875_0018,"T. E. Thorpe, Ph. D.",authored
rspl_1875_0018,"A. W. R\#xFC;cker, M. A.",authored
rspl_1875_0018,"W. B. Carpenter, M. D., LL. D, F. R. S.",authored
rspl_1875_0019,"Prof. W. G. Adams, F. R. S.",authored
rspl_1875_0020,Prof. Osborne Reynolds.,authored
rspl_1875_0020,"Prof. Stokes, Sec. R. S.",authored
rspl_1875_0021,"Warren De La Rue, D. C. L., F. R. S.",authored
rspl_1875_0021,"Hugo W. M\#xFC;ller, Ph. D., F. R. S.",authored
rspl_1875_0022,"John Tyndall, F. R. S.",authored
rspl_1875_0023,J. Hopkinson.,authored
rspl_1875_0023,Sir W. Thomson.,authored
rspl_1875_0024,Captain J. Waterhouse.,authored
rspl_1875_0024,Professor Stokes.,authored
rspl_1875_0026,"William B. Carpenter, M. D., F. R. S.",authored
rspl_1875_0027,"J, A. Broun, F. R. S.",authored
rspl_1875_0029,"E. Cresswell Baber, M. D. Lond.",authored
rspl_1875_0029,"Dr. Klein, F. R. S.",authored
rspl_1875_0030,"Herbert Watney, M. A.",authored
rspl_1875_0030,"Dr. Klein, F. R. S.",authored
rspl_1875_0031,"J. W. L. Glaisher, M. A., F. R. S.",authored
rspl_1875_0032,"Charles S. Tomes, M. A.",authored
rspl_1875_0032,"John Tomes, F. R. S.",authored
rspl_1875_0033,"Professor James Thomson, LL. D., F. R. S. E.",authored
rspl_1875_0033,"Prof. Sir William Thomson, F. R. S.",authored
rspl_1875_0034,"Prof. Sir W. Thomson, LL. D., F. R. S.",authored
rspl_1875_0035,"Prof. Sir William Thomson, LL. D. F. R. S.",authored
rspl_1875_0036,"Sir William Thomson, LL. D., F. R. S.",authored
rspl_1875_0037,"William Crookes, F. R. S. \amp;c.",authored
rspl_1875_0038,"William Crookes, F. R. S. \amp;c.",authored
rspl_1875_0039,"T. E. Thorpe, Ph. D., F. R. S. E.",authored
rspl_1875_0039,"Prof. A. W. Williamson, For. Sec. R. S.",authored
rspl_1875_0040,"T. E. Thorpe, Ph. D., F. R. S. E.",authored
rspl_1875_0040,"A. W. Williamson, For. Sec. R. S.",authored
rspl_1875_0041,Alfred Tribe,authored
rspl_1875_0041,"J. H. Gladstone, Ph. D.",authored
rspl_1875_0042,"C. William Siemens, D. C. L., F. R. S., M. I. C. E.",authored
rspl_1875_0043,J. Rymer Jones,authored
rspl_1875_0043,"Prof. Rymer Jones, F. R. S.",authored
rspl_1875_0044,E. J. Nanson.,authored
rspl_1875_0044,"Professor Cayley, F. R. S.",authored
rspl_1875_0045,"Urban Pritchard, M. D., F. R. C. S.",authored
rspl_1875_0045,"Prof. Huxley, Sec. R. S., LL. D., \amp;c.",authored
rspl_1875_0046,"J. N. Lockyer, F. R. S.",authored
rspl_1875_0047,W. Galloway.,authored
rspl_1875_0047,"Professor Frankland, F. R. S.",authored
rspl_1875_0048,J. Capello,authored
rspl_1875_0048,"Balfour Stewart, F. R. S.",authored
rspl_1875_0049,"C. Spence Bate, F. R. S.",authored
rspl_1875_0050,"Charles Meldrum, M. A.",authored
rspl_1875_0050,"B. Stewart, F. R. S.",authored
rspl_1875_0051,Prof. Osborne Reynolds,authored
rspl_1875_0051,"B. Stewart, F. R. S.",authored
rspl_1875_0052,"Arthur Schuster, Ph. D.",authored
rspl_1875_0052,"B. Stewart, F. R. S.",authored
rspl_1875_0053,W. Shanks.,authored
rspl_1875_0053,"Rev. G. Salmon, D. D., F. R. S.",authored
rspl_1875_0054,"G. W. Royston-Pigott, M. A., M. D. Cantab., F. R. S., F. R. A. S., F. C. P. S.",authored
rspl_1875_0055,Edward Albert Sch\#xE4;fer,authored
rspl_1875_0055,"Dr. Sharpey, F. R. S.",authored
rspl_1875_0056,"W. Spottiswoode, M. A., Treas. and V. P. R. S.",authored
rspl_1875_0057,"J. Hopkinson, M. A., D. Sc.",authored
rspl_1875_0057,"Prof. Sir William Thomson, F. R. S.",authored
rspl_1875_0058,"Wm. Turner, M. B. (Lond.)",authored
rspl_1875_0058,"Prof. Huxley, Sec. R. S.",authored
rspl_1875_0059,"William Crookes, F. R. S. \amp;c.",authored
rspl_1875_0060,"Lawson Tait, F. R. C. S. \amp;c.",authored
rspl_1875_0060,"W. S. Savory, F. R. S.",authored
rspl_1875_0061,Dr. Ritter von Lang,authored
rspl_1875_0061,"N. Story Maskelyne, F. R. S.",authored
rspl_1875_0062,"J. Wickham Legg, M. D.",authored
rspl_1875_0062,"J. Burdon Sanderson, M. D.",authored
rspl_1875_0063,H. N. Moseley,authored
rspl_1875_0063,"Prof. Wyville Thomson, F. R. S.",authored
rspl_1875_0064,"William B. Carpenter, M. D., F. R. S.",authored
rspl_1875_0065,"Prof. T. Andrews, LL. D., F. R. S.",authored
rspl_1875_0066,"Professor Wyville Thomson, F. R. S.",authored
rspl_1875_0067,"John Murray, Esq.",authored
rspl_1875_0068,H. N. Moseley,authored
rspl_1875_0069,late Dr. Rudolf von Willem\#xF6;es-Suhm,authored
rspl_1875_0070,late Dr. Rudolf von Willem\#xF6;es-Suhm,authored
rspl_1875_0071,J. Y. Buchanan,authored
rspl_1875_0071,"Professor Wyville Thomson, F. R. S.",authored
rspl_1875_0072,"Prof. Wyville Thomson, F. R. S.",authored
rspl_1876_0001,"Francis S. B. Francois de Chaumont, M. D.",authored
rspl_1876_0001,"Prof. Stokes, Sec. R. S.",authored
rspl_1876_0003,"H. E. Roscoe, F. R. S.",authored
rspl_1876_0003,T. E. Thorpe,authored
rspl_1876_0004,"Professor James Thomson, LL. D., F. R. S. E.",authored
rspl_1876_0004,"Prof. Sir William Thomson, F. R. S.",authored
rspl_1876_0005,"G. J. Romanes, M. A., F. L. S.",authored
rspl_1876_0005,"Prof. Sanderson, M. D., F. R. S.",authored
rspl_1876_0007,"P. M. Duncan, M. B., F. R. S.",authored
rspl_1876_0008,"W. D. Niven, M. A., F. R. A. S.",authored
rspl_1876_0008,"J. Clerk Maxwell, F. R. S.",authored
rspl_1876_0009,"R. J. Moss, F. C. S.",authored
rspl_1876_0009,"G. Johnstone Stoney, F. R. S.",authored
rspl_1876_0010,"J. A. Broun, F. R. S.",authored
rspl_1876_0011,"J. A. Broun, F. R. S.",authored
rspl_1876_0012,"Capt. Allan Cunningham, R. E., Hon.",authored
rspl_1876_0012,Prof. Cayley.,authored
rspl_1876_0013,"Sir John Conroy, Bart., M. A.",authored
rspl_1876_0013,A. G. Vernon Harcourt,authored
rspl_1876_0014,"Sir John Conroy, Bart., M. A.",authored
rspl_1876_0014,A. G. Vernon Harcourt,authored
rspl_1876_0015,"John Stenhouse, LL. D., F. R. S.",authored
rspl_1876_0015,Charles Edward Groves.,authored
rspl_1876_0016,"Prof. W. C. Williamson, F. R. S.",authored
rspl_1876_0017,"William Spottiswoode, M. A., Treas. R. S.",authored
rspl_1876_0018,"Sir B. C. Brodie, Bart., F. R. S.",authored
rspl_1876_0019,"Rev. S. J. Perry, F. R. S.",authored
rspl_1876_0020,"Dr. J. Dalton Hooker, C. B.",authored
rspl_1876_0021,H. N. Moseley,authored
rspl_1876_0021,"Professor Wyville Thomson, F. R. S.",authored
rspl_1876_0022,"Alban H. G. Doran, F. R. C. S.",authored
rspl_1876_0022,"Professor Flower, F. R. S.",authored
rspl_1876_0023,"H. E. Roscoe, F. R. S.",authored
rspl_1876_0024,"Prof. W. G. Adams, F. R. S.",authored
rspl_1876_0024,Mr. R. E. Day.,authored
rspl_1876_0025,"Lord Rayleigh, F. R. S.",authored
rspl_1876_0026,"T. E. Thorpe, F. R. S.",authored
rspl_1876_0027,"J. G. Grenfell, B. A., F. G. S.",authored
rspl_1876_0027,"C. Tomlinson, F. R. S.",authored
rspl_1876_0028,"Rev. Samuel Haughton, M. D. (Dubl.), D. C. L. (Oxon.), F. R. S.",authored
rspl_1876_0029,"William Crookes, F. R. S. \amp;c.",authored
rspl_1876_0030,"Charles Creighton, M. B., M. A.",authored
rspl_1876_0030,"Prof. Huxley, Sec. R. S.",authored
rspl_1876_0031,"J. E. H. Gordon, B. A.",authored
rspl_1876_0031,J. Clerk Maxwell,authored
rspl_1876_0032,"General Sir Edward Sabine, R. A., K. C. B., F. R. S.",authored
rspl_1876_0033,"H. Charlton Bastian, M. A., M. D., F. R. S.",authored
rspl_1876_0034,"Balfour Stewart, LL. D., F. R. S.",authored
rspl_1876_0035,"Hubert Airy, M. A., M. D.",authored
rspl_1876_0035,"Charles Darwin, M. A., F. R. S.",authored
rspl_1876_0036,J. Y. Buchanan,authored
rspl_1876_0036,"Professor Williamson, Foreign Secretary R. S.",authored
rspl_1876_0037,"E. Frankland, D. C. L., F. R. S.",authored
rspl_1876_0038,"Vice-Admiral Sir Charles Shadwell, K. C. B., F. R. S.",authored
rspl_1876_0039,Joseph Thomson,authored
rspl_1876_0039,"B. Stewart, F. R. S.",authored
rspl_1876_0040,"T. Lauder Brunton, M. D., F. R. S.",authored
rspl_1876_0040,"Walter Pye, M. R. C. S.",authored
rspl_1876_0041,"T. Lauder Brunton, M. D., F. R. S.",authored
rspl_1876_0041,"Sir J. Fayrer, M. D., K. C. S. I.",authored
rspl_1876_0042,"W. H. L. Russell, F. R. S.",authored
rspl_1876_0043,"J. Gwyn Jeffreys, LL. D., F. R. S.",authored
rspl_1876_0044,"William B. Carpenter, C. B., M. D., F. R. S.",authored
rspl_1876_0045,"P. Martin Duncan, M. B. Lond., F. R. S., \amp;c.",authored
rspl_1876_0046,"Warren De La Rue, M. A., D. C. L., F. R. S.",authored
rspl_1876_0046,"Hugo W. M\#xFC;ller, Ph. D., F. R. S.",authored
rspl_1876_0047,"Dr. E. Klein, F. R. S.",authored
rspl_1876_0048,A. M. Worthington,authored
rspl_1876_0048,"R. B. Clifton, M. A., F. R. S.",authored
rspl_1876_0049,"G. F. Rodwell, F. R. A. S., F. C. S.",authored
rspl_1876_0049,"Professor Tyndall, F. R. S.",authored
rspl_1876_0050,"G. F. Rodwell, F. R. A. S., F. C. S.",authored
rspl_1876_0050,"Frederick Guthrie, F. R. S.",authored
rspl_1876_0051,"William Crookes, F. R. S. \amp;c.",authored
rspl_1876_0052,"Rev. S. J. Perry, S. J., F. R. S.",authored
rspl_1876_0053,Dr. L. Bleekrode,authored
rspl_1876_0053,"Warren De La Rue, D. C. L., F. R. S.",authored
rspl_1876_0054,"George H. Darwin, M. A.",authored
rspl_1876_0054,Professor J. C. Adams,authored
rspl_1876_0055,"W. K. Parker, F. R. S.",authored
rspl_1876_0058,"George F. Dowdeswell, B. A. Cantab.",authored
rspl_1876_0058,"J. Burdon Sanderson, F. R. S.",authored
rspl_1876_0059,Charles H. Gimingham,authored
rspl_1876_0059,"William Crookes, F. R. S. \amp;c.",authored
rspl_1876_0060,Fred. Chambers,authored
rspl_1876_0060,"Charles Chambers, F. R. S.",authored
rspl_1876_0061,"J. Burdon-Sanderson, M. D., F. R. S.",authored
rspl_1876_0061,"F. J. M. Page, B. Sc., F. C. S.",authored
rspl_1876_0062,"J. Burdon-Sanderson, M. D., F. R. S.",authored
rspl_1876_0063,"W. H. Gaskell, M. A.",authored
rspl_1876_0063,"Dr. Michael Foster, F. R. S.",authored
rspl_1876_0064,"William Huggins, D. C. L., LL. D., F. R. S.",authored
rspl_1876_0065,"George Francis Fitzgerald, M. A.",authored
rspl_1876_0065,"G. Johnstone Stoney, F. R. S.",authored
rspl_1876_0066,"Herbert Tomlinson, B. A.",authored
rspl_1876_0066,"Prof. W. G. Adams, F. R. S.",authored
rspl_1876_0067,"Wm. Roberts, M. D.",authored
rspl_1876_0067,"Prof. Tyndall, F. R. S.",authored
rspl_1876_0068,"Professor Tyndall, F. R. S.",authored
rspl_1876_0069,"George J. Romanes, M. A., F. L. S., \amp;c.",authored
rspl_1876_0069,"Prof. Huxley, Sec. R. S., \amp;c.",authored
rspl_1876_0070,"B. Thompson Lowne, F. R. C. S.",authored
rspl_1876_0070,"Prof. Stokes, Sec. R. S.",authored
rspl_1876_0071,"G. F. Dowdeswell, B. A.",authored
rspl_1876_0071,"J. Burdon Sanderson, M. D., F. R. S.",authored
rspl_1876_0072,"J. Hopkinson, M. A., D. Sc.",authored
rspl_1876_0072,"Prof. Sir William Thomson, F. R. S.",authored
rspl_1876_0073,A. M. Worthington,authored
rspl_1876_0073,"B. Stewart, F. R. S.",authored
rspl_1876_0074,"John Tyndall, F. R. S.",authored
rspl_1876_0075,"Dr. Albert G\#xFC;nther, F. R. S.",authored
rspl_1876_0076,"W. H. L. Russell, F. R. S.",authored
rspl_1876_0077,"J. A. Broun, F. R. S.",authored
rspl_1876_0078,"Charles Chambers, F. R. S.",authored
rspl_1876_0079,R. H. M. Bosanquet,authored
rspl_1876_0079,Prof. Henry J. S. Smith,authored
rspl_1876_0080,"E. Frankland, F. R. S.",authored
rspl_1876_0081,"J. Norman Lockyer, F. R. S.",authored
rspl_1876_0082,"William Spottiswoode, M. A., F. R. S.",authored
rspl_1876_0083,"George Hoggan, M. B.",authored
rspl_1876_0083,"Frances Elizabeth Hoggan, M. D.",authored
rspl_1876_0083,"Dr. Billing, F. R. S.",authored
rspl_1876_0084,William Shanks,authored
rspl_1876_0084,"Rev. G. Salmon, D. D., F. R. S.",authored
rspl_1876_0085,"G. Johnstone Stoney, M. A., F. R. S.",authored
rspl_1876_0085,"Richard J. Moss, F. C. S.",authored
rspl_1876_0086,"W. C. M\amp;apos;Intosh, M. D., F. R. S. E., F. L. S",authored
rspl_1876_0086,"G. Busk, F. R. S., V. P. L. S. and Z. S.",authored
rspl_1876_0087,"John Casey, LL. D., F. R. S.",authored
rspl_1876_0088,"A. Cayley, LL. D., F. R. S.",authored
rspl_1876_0089,"J. A. Broun, F. R. S.",authored
rspl_1876_0090,"John Tyndall, F. R. S.",authored
rspl_1876_0090,"T. H. Huxley, Esq., Sec. R. S.",authored
rspl_1876_0091,"Balfour Stewart, LL. D., F. R. S.",authored
rspl_1877_0001,"J. H. Gladstone, Ph. D., F. R. S.",authored
rspl_1877_0001,"Alfred Tribe, E. C. S.",authored
rspl_1877_0003,"Francis Darwin, M. B.",authored
rspl_1877_0003,"Charles Darwin, F. R. S.",authored
rspl_1877_0004,"W. H. M. Christie, M. A.",authored
rspl_1877_0004,Dr. Huggins,authored
rspl_1877_0006,"J. A. Fleming, B. Sc. (Lond.).",authored
rspl_1877_0006,"Prof Stokes, Sec. R. S.",authored
rspl_1877_0007,"Charles S. Tomes, M. A.",authored
rspl_1877_0007,"John Tomes, F. R. S.",authored
rspl_1877_0008,"A. Milnes Marshall, B. A., B. Sc.",authored
rspl_1877_0008,"Dr. Michael Foster, F. R. S.",authored
rspl_1877_0009,"Rev. Samuel Haughton, M. D. Dublin, D. C. L. Oxon., F. R. S.",authored
rspl_1877_0010,"Rev. Samuel Haughton, M. D. Dublin, D. C. L. Oxon., F. R. S.",authored
rspl_1877_0011,Prof. James Dewar,authored
rspl_1877_0011,Prof. A. W. Williamson,authored
rspl_1877_0012,J. W. Wallet,authored
rspl_1877_0012,"Prof. Stokes, Sec. R. S.",authored
rspl_1877_0013,"W. R. Gowers, M. D.",authored
rspl_1877_0013,"J. S. Burdon Sanderson, M. D., F. R. S.",authored
rspl_1877_0014,"Francis Galton, F. R. S.",authored
rspl_1877_0015,"William Spottiswoode, M. A. Treas. R. S.",authored
rspl_1877_0016,"Fleeming Jenkin, F. R. SS. L. \amp; E.",authored
rspl_1877_0016,J. A. Ewing,authored
rspl_1877_0017,"Rev. S. J. Perry, S. J., F. R. S.",authored
rspl_1877_0018,"Balfour Stewart, LL. D., F. R. S.",authored
rspl_1877_0019,"Professor Norris, M. D.",authored
rspl_1877_0019,"G. Gore, F. R. S.",authored
rspl_1877_0020,"Prof. P. Martin Duncan, F. R. S.",authored
rspl_1877_0021,"Walter Noel Hartley, F. R. S. E., F. C. S.",authored
rspl_1877_0021,"Professor Stokes, Sec. R. S.",authored
rspl_1877_0022,"Walter Noel Hartley, F. R. S. E.",authored
rspl_1877_0022,"Prof. Stokes, Sec. R. S.",authored
rspl_1877_0023,Gustav Bischof,authored
rspl_1877_0023,"E. Frankland, F. R. S.",authored
rspl_1877_0024,"E. J. Stone, M. A., F. R. S.",authored
rspl_1877_0025,Herbert M\amp;apos;Leod,authored
rspl_1877_0025,"George Sydenham Clarke, Lieut. R. E.",authored
rspl_1877_0025,"Prof. Duncan, F. R. S., Pres. G. S.",authored
rspl_1877_0026,"Prof. Edward Hull, M. A., F. R. S.",authored
rspl_1877_0026,"E. T. Hardman, F. C. S.",authored
rspl_1877_0027,"Greville Williams, F. R. S.",authored
rspl_1877_0028,"William Crookes, F. R. S. \amp;c.",authored
rspl_1877_0029,"William Huggins, D. C. L., LL. D., F. R. S.",authored
rspl_1877_0030,"Sydney Ringer, M. D.",authored
rspl_1877_0030,"late Andrew P. Stuart, M. R. C. S.",authored
rspl_1877_0030,"Dr. Sharpey, F. R. S.",authored
rspl_1877_0031,"George J. Romanes, M. A., F. L. S.",authored
rspl_1877_0031,"Prof. Burdon Sanderson, M. D., LL. D., F. R. S.",authored
rspl_1877_0032,"G. M. Whipple, B. Sc.",authored
rspl_1877_0032,"Robert H. Scott, F. R. S.",authored
rspl_1877_0033,Alfred Tribe,authored
rspl_1877_0033,"Dr. Gladstone, F. R. S.",authored
rspl_1877_0034,"William Spottiswoode, M. A., Treas. R. S.",authored
rspl_1877_0035,"Warren De La Rue, M. A., D. C. L., F. R. S.",authored
rspl_1877_0035,"Hugo W. M\#xFC;ller, Ph. D., F. R. S.",authored
rspl_1877_0036,"John Tyndall, LL. D., F. R. S.",authored
rspl_1877_0037,"Frederick D. Brown, B. Sc.",authored
rspl_1877_0037,"Henry E. Armstrong, Ph. D., F. R. S., Sec. C. S., Professor of Chemistry in the London Institution.",authored
rspl_1877_0038,"Lord Rayleigh, M. A., F. R. S.",authored
rspl_1877_0039,"General Strachey, R. E., C. S. I., F. R. S.",authored
