target,source,type
rspa_1905_0054,"Sir William Huggins, K. C. B., O. M., D. C. L., Pres. R. S.",authored
rspa_1905_0054,"Lady Huggins, Hon. Mem. R. A. S.",authored
rspa_1905_0055,J. E. Petavel,authored
rspa_1905_0055,"Arthur Schuster, F. R. S.",authored
rspa_1905_0056,"Sir Norman Lockyer, K. C. B., LL. D., Sc. D., F. R. S.",authored
rspa_1905_0056,"William J. S. Lockyer, M. A. (Camb.), Ph. D. (G\#xF6;tt.), F. R. A. S.",authored
rspa_1905_0057,Thomas Folkes Claxton,authored
rspa_1905_0057,"Dr. C. Chree, F. R. S.",authored
rspa_1905_0058,"Sir Andrew Noble, Bart., K. C. B., F. R. S., F. R. A. S.",authored
rspa_1905_0059,"Richard C. Maclurin, M. A., LL. D.",authored
rspa_1905_0059,"Professor J. Larmor, Sec. R. S.",authored
rspa_1905_0060,"J. H. Jeans, M. A.",authored
rspa_1905_0060,"Professor J. Larmor, Sec. R. S.",authored
rspa_1905_0061,A. A. Campbell Swinton.,authored
rspa_1905_0061,"Hon. C. A. Parsons, C. B., F. R. S.",authored
rspa_1905_0062,"R. B. Denison, M. Sc., Ph. D.,",authored
rspa_1905_0062,"B. D. Steele, D. Sc.",authored
rspa_1905_0062,"Sir William Ramsay, K. C. B., F. R. S.",authored
rspa_1905_0063,"Sir James Dewar, M. A., Sc. D., LL. D., F. R. S.,",authored
rspa_1905_0063,"Humphrey Owen Jones, M. A., D. Sc.,",authored
rspa_1905_0064,"W. C. D. Whetham, M. A., F. R. S.",authored
rspa_1906_0001,"H. L. Callender, M. A., LL. D., F. R. S.",authored
rspa_1906_0001,"A. Fowler, A. R. C. S.",authored
rspa_1906_0002,"Sir William Christie, K. C. B.",authored
rspa_1906_0003,"J. Evershed, F. R. A. S.",authored
rspa_1906_0004,"H. F. Newall, F. R. S.",authored
rspa_1906_0005,"H. H. Turner, D. Sc., F. R. S.",authored
rspa_1906_0006,"Professor L. Becker, Ph. D., F. R. S. E., F. R. A. S.",authored
rspa_1906_0007,"Sir William Huggins, K. C. B., O. M., F. R. S.",authored
rspa_1906_0008,"C. V. Boys, F. R. S.",authored
rspa_1906_0009,"Sir William Huggins, K. C. B., O. M., D. C. L., F. R. S.",authored
rspa_1906_0009,"Lady Huggins, Hon. Mem. R. A. S.",authored
rspa_1906_0010,Professor Percival Lowell,authored
rspa_1906_0010,"Sir Norman Lockyer, K. C. B., F. R. S.",authored
rspa_1906_0011,"Arthur Schuster, F. R. S.",authored
rspa_1906_0012,"Arthur Schuster, F. R. S.",authored
rspa_1906_0013,"William A. Bone, D. Sc., F. R. S.",authored
rspa_1906_0013,"Richard V. Wheeler, B.Sc.",authored
rspa_1906_0014,"W. Tement Cooke, D. Sc.",authored
rspa_1906_0014,"Sir William Ramsay, K. C. B., F. R. S.",authored
rspa_1906_0015,Earl of Berkeley,authored
rspa_1906_0015,"E. G. J. Hartley, B. A. (Oxon)",authored
rspa_1906_0015,"W. C. D. Whetham, M. A., F. R. S.",authored
rspa_1906_0016,"T. H. Havelock, M. A., D. Sc.",authored
rspa_1906_0016,"Professor J. Larmor, Sec. R. S.",authored
rspa_1906_0017,"W. Burnside, F. R. S.",authored
rspa_1906_0018,"Richard C. Maclaurin, M. A., LL. D.",authored
rspa_1906_0018,"Professor J. Larmor, Sec. R. S.",authored
rspa_1906_0019,"Will Spens, B. A.",authored
rspa_1906_0019,"W. C. D. Whetham, F. R. S.",authored
rspa_1906_0020,Walter Makower,authored
rspa_1906_0020,"Arthur Schuster, F. R. S.",authored
rspa_1906_0021,"Charles G. Barkla, D. Sc. (Liverpool), M. Sc. (Victoria), B. A. (King&apos;s College, Cambridge)",authored
rspa_1906_0021,"Professor J. J. Thomson, F. R. S.",authored
rspa_1906_0022,"Andrew Gray, F. R. S.",authored
rspa_1906_0023,"George W. Walker, M. A., A. R. C. Sc.",authored
rspa_1906_0023,"Professor A. E. H. Love, F. R. S.",authored
rspa_1906_0024,"Meyer Wilderman, Ph. D., B. Sc. (Oxon.)",authored
rspa_1906_0024,"Dr. Ludwig Mond, F. R. S.",authored
rspa_1906_0025,"James Muir, D. Sc., M. A.",authored
rspa_1906_0025,"Professor A. Gray, F. R. S.",authored
rspa_1906_0026,"A. N. Whitehead, D. Sc., F. R. S.",authored
rspa_1906_0027,"Professor F. T. Trouton, F. R. S.",authored
rspa_1906_0027,Miss B. Pool.,authored
rspa_1906_0028,"Herbert Stansfield, B. Sc.",authored
rspa_1906_0028,"Arthur Schuster, F. R. S.",authored
rspa_1906_0029,G. Udny Yule,authored
rspa_1906_0029,"Professor O. Henrici, F. R. S.",authored
rspa_1906_0030,G. Udny Yule,authored
rspa_1906_0030,"Professor O. Henrici, F. R. S.",authored
rspa_1906_0031,"P. E. Shaw, B. A., D. Sc.",authored
rspa_1906_0031,"Professor J. H. Poynting, F. R. S.",authored
rspa_1906_0032,"John Milne, F. R. S.",authored
rspa_1906_0033,"W. R. Bousfield, M. A., K. C.",authored
rspa_1906_0033,"Professor Larmor, Sec. R. S.",authored
rspa_1906_0034,"C. Chree, Sc. D., LL. D., F. R. S.",authored
rspa_1906_0035,"Bertram Hopkinson, M. A., M. I. C. E.",authored
rspa_1906_0035,"Professor Ewing, F. R. S.",authored
rspa_1906_0036,"G. Marconi, LL. D., D. Sc.",authored
rspa_1906_0036,"Dr. J. A. Fleming, F. R. S.",authored
rspa_1906_0037,"Sir George Howard Darwin, K. C. B., F. R. S.",authored
rspa_1906_0038,"Fred. T. Trouton, F. R. S.",authored
rspa_1906_0039,"W. H. Dines, F. R. S.",authored
rspa_1906_0040,"Sir W. D. Niven, K. C. B., V.-P. R. S.",authored
rspa_1906_0041,"Sir Norman Lockyer, K. C. B., F. R. S., LL. D., Sc. D.",authored
rspa_1906_0042,"Hon. R. J. Strutt, F. R. S.",authored
rspa_1906_0043,"Lord Rayleigh, O. M., Pres. R. S.",authored
rspa_1906_0044,Dugald Clerk,authored
rspa_1906_0044,"the Hon. C. A. Parsons, C. B., F. R. S.",authored
rspa_1906_0045,"Sir William H. White, K. C. B., F. R. S.",authored
rspa_1906_0046,"L. H. Walter, M. A.",authored
rspa_1906_0047,"Richard Threlfall, M. A., F. R. S.",authored
